background,gene_set,database,module,significant_terms,min_fdr,median_gene_ratio
candidate_background,stable_directional_sensitivity,KEGG,ribosomal_translation,1,0.0123120714688763,0.233009708737864
candidate_background,stable_directional_sensitivity,KEGG,other_or_unclassified,1,0.0123120714688763,0.184466019417476
candidate_background,stable_directional_sensitivity,Reactome,rna_processing,7,0.00048011765231644,0.159183673469388
candidate_background,stable_directional_sensitivity,Reactome,other_or_unclassified,21,0.00048011765231644,0.159183673469388
candidate_background,stable_directional_sensitivity,Reactome,ribosomal_translation,17,0.00048011765231644,0.146938775510204
candidate_background,stable_strict_primary,GO_BP,ribosomal_translation,7,4.64791813591636e-06,0.104166666666667
candidate_background,stable_strict_primary,GO_BP,rna_processing,3,4.18890911913589e-05,0.1875
candidate_background,stable_strict_primary,GO_BP,other_or_unclassified,2,0.00238112928649645,0.09375
candidate_background,stable_strict_primary,KEGG,other_or_unclassified,1,2.4896176027839e-06,0.346666666666667
candidate_background,stable_strict_primary,KEGG,ribosomal_translation,1,0.000108678750261203,0.373333333333333
candidate_background,stable_strict_primary,Reactome,ribosomal_translation,18,2.3838092656055e-08,0.297619047619048
candidate_background,stable_strict_primary,Reactome,other_or_unclassified,27,2.3838092656055e-08,0.30952380952381
candidate_background,stable_strict_primary,Reactome,rna_processing,7,2.3838092656055e-08,0.321428571428571
