adj_p_cutoff,abs_logfc_cutoff,n_probes,n_annotated_probes,n_unique_genes,n_up,n_down
0.01,0,2269,2039,1811,1084,1185
0.01,0.1,1678,1521,1360,781,897
0.01,0.2,594,521,453,140,454
0.01,0.3,271,227,193,17,254
0.01,0.5,98,81,65,1,97
0.05,0,3527,3101,2728,1868,1659
0.05,0.1,2106,1909,1693,1062,1044
0.05,0.2,623,546,476,155,468
0.05,0.3,274,230,196,17,257
0.05,0.5,98,81,65,1,97
0.1,0,4436,3848,3371,2422,2014
0.1,0.1,2255,2043,1806,1150,1105
0.1,0.2,630,551,481,156,474
0.1,0.3,275,230,196,17,258
0.1,0.5,98,81,65,1,97
